Fighter: Alexandre Pantoja          ELO: 1234.81
Fighter: David Branch               ELO: 1234.81
Fighter: Thiago Santos              ELO: 1234.02
Fighter: Thiago Santos              ELO: 1234.02
Fighter: Linton Vassell             ELO: 1233.6
Fighter: Ben Rothwell               ELO: 1233.17
Fighter: Sergio Pettis              ELO: 1233.11
Fighter: Edson Barboza              ELO: 1232.53
Fighter: Nate Diaz                  ELO: 1232.01
Fighter: Marcin Tybura              ELO: 1231.2
Fighter: Magomed Ankalaev           ELO: 1230.19
Fighter: Attila Vegh                ELO: 1228.58
Fighter: Renato Sobral              ELO: 1228.33
Fighter: John Hathaway              ELO: 1228.26
Fighter: Alexander Gustafsson       ELO: 1227.94
Fighter: Mauricio Rua               ELO: 1227.89
Fighter: Randy Couture              ELO: 1227.82
Fighter: Kazuo Misaki               ELO: 1224.96
Fighter: Patrick Côté               ELO: 1224.38
Fighter: Pat Curran                 ELO: 1224.37
Fighter: Jimmie Rivera              ELO: 1224.19
Fighter: Royce Gracie               ELO: 1222.35
Fighter: Corey Anderson             ELO: 1221.48
Fighter: Paul Daley                 ELO: 1221.28
Fighter: Daniel Weichel             ELO: 1220.88
Fighter: Rousimar Palhares          ELO: 1220.63
Fighter: Junior dos Santos          ELO: 1220.06
Fighter: Anthony Pettis             ELO: 1219.98
Fighter: Lyle Beerbohm              ELO: 1218.88
Fighter: Paulo Costa                ELO: 1218.74
Fighter: Jairzinho Rozenstruik      ELO: 1218.71
Fighter: Stephen Thompson           ELO: 1218.12
Fighter: Donald Cerrone             ELO: 1217.63
Fighter: Eduardo Dantas             ELO: 1217.46
Fighter: Karlos Vemola              ELO: 1217.27
Fighter: Leonardo Santos            ELO: 1217.05
Fighter: Albert Tumenov             ELO: 1216.89
Fighter: Gilbert Melendez           ELO: 1215.42
Fighter: Antonio McKee              ELO: 1214.94
Fighter: Ricardo Arona              ELO: 1214.78
Fighter: Chris Lytle                ELO: 1214.18
Fighter: Dennis Siver               ELO: 1213.66
Fighter: Shamil Abdurakhimov        ELO: 1213.49
Fighter: Jared Cannonier            ELO: 1213.02
Fighter: Mitsuhisa Sunabe           ELO: 1212.31
Fighter: Calvin Kattar              ELO: 1211.88
Fighter: Pedro Munhoz               ELO: 1211.87
Fighter: Desmond Green              ELO: 1210.7
Fighter: Marlon Sandro              ELO: 1210.66
Fighter: Uriah Hall                 ELO: 1209.77
Fighter: Dan Hardy                  ELO: 1209.58
Fighter: Phillip Miller             ELO: 1209.03
Fighter: Carlos Condit              ELO: 1208.8
Fighter: Alexey Oleinik             ELO: 1208.59
Fighter: Marvin Vettori             ELO: 1208.3
Fighter: Aleksander Emelianenko     ELO: 1208.22
Fighter: Chuck Liddell              ELO: 1207.74
Fighter: Iuri Alcântara             ELO: 1207.54
Fighter: Eric Wisely                ELO: 1207.48
Fighter: Darren Elkins              ELO: 1207.31
