Fighter: Rani Yahya                 ELO: 1234.89
Fighter: David Branch               ELO: 1234.84
Fighter: Uriah Hall                 ELO: 1234.7
Fighter: Pedro Munhoz               ELO: 1234.66
Fighter: Linton Vassell             ELO: 1233.63
Fighter: Ben Rothwell               ELO: 1233.37
Fighter: Sergio Pettis              ELO: 1233.2
Fighter: Nate Diaz                  ELO: 1233.02
Fighter: Goiti Yamauchi             ELO: 1232.68
Fighter: Magomed Ankalaev           ELO: 1231.61
Fighter: Marcin Tybura              ELO: 1231.4
Fighter: Darren Till                ELO: 1230.73
Fighter: Attila Vegh                ELO: 1228.64
Fighter: Renato Sobral              ELO: 1228.33
Fighter: John Hathaway              ELO: 1228.29
Fighter: Alexander Gustafsson       ELO: 1227.99
Fighter: Mauricio Rua               ELO: 1227.91
Fighter: Gleison Tibau              ELO: 1227.9
Fighter: Randy Couture              ELO: 1227.82
Fighter: Alexandre Pantoja          ELO: 1227.59
Fighter: Kazuo Misaki               ELO: 1224.96
Fighter: Patrick Côté               ELO: 1224.41
Fighter: Pat Curran                 ELO: 1224.36
Fighter: Jimmie Rivera              ELO: 1224.3
Fighter: Royce Gracie               ELO: 1222.35
Fighter: Corey Anderson             ELO: 1222.11
Fighter: Paul Daley                 ELO: 1221.89
Fighter: Daniel Weichel             ELO: 1220.9
Fighter: Rousimar Palhares          ELO: 1220.67
Fighter: Junior dos Santos          ELO: 1220.23
Fighter: Anthony Pettis             ELO: 1219.97
Fighter: Lyle Beerbohm              ELO: 1218.9
Fighter: Paulo Costa                ELO: 1218.9
Fighter: Jairzinho Rozenstruik      ELO: 1218.8
Fighter: Stephen Thompson           ELO: 1218.51
Fighter: Donald Cerrone             ELO: 1218.04
Fighter: Albert Tumenov             ELO: 1217.62
Fighter: Karlos Vemola              ELO: 1217.3
Fighter: Leonardo Santos            ELO: 1217.06
Fighter: Gilbert Melendez           ELO: 1215.43
Fighter: Antonio McKee              ELO: 1214.94
Fighter: Ricardo Arona              ELO: 1214.78
Fighter: Chris Lytle                ELO: 1214.18
Fighter: Dennis Siver               ELO: 1213.61
Fighter: Shamil Abdurakhimov        ELO: 1213.52
Fighter: Kelvin Gastelum            ELO: 1213.48
Fighter: Mitsuhisa Sunabe           ELO: 1212.31
Fighter: Bobby Green                ELO: 1212.23
Fighter: John Salter                ELO: 1211.89
Fighter: Calvin Kattar              ELO: 1211.88
Fighter: Marlon Sandro              ELO: 1210.65
Fighter: Eduardo Dantas             ELO: 1210.58
Fighter: Dan Hardy                  ELO: 1209.59
Fighter: Desmond Green              ELO: 1209.32
Fighter: Phillip Miller             ELO: 1209.03
Fighter: Carlos Condit              ELO: 1209.02
Fighter: Alexey Oleinik             ELO: 1208.79
Fighter: Marvin Vettori             ELO: 1208.29
Fighter: Chuck Liddell              ELO: 1207.74
Fighter: Iuri Alcântara             ELO: 1207.54
Fighter: Eric Wisely                ELO: 1207.48
Fighter: Ruslan Magomedov           ELO: 1207.35
Fighter: Aleksander Emelianenko     ELO: 1206.99
Fighter: Mairbek Taisumov           ELO: 1206.66
Fighter: Antônio Rogério Nogueira   ELO: 1206.25
Fighter: Ray Cooper III             ELO: 1206.02
Fighter: Lyman Good                 ELO: 1205.28
Fighter: Ryan Ford                  ELO: 1204.77
Fighter: Genki Sudo                 ELO: 1204.01
Fighter: Nazareno Malegarie         ELO: 1203.93
Fighter: Mike Whitehead             ELO: 1203.78
Fighter: Rickson Gracie             ELO: 1203.22
Fighter: Luis Santos                ELO: 1202.6
Fighter: Kiyoshi Tamura             ELO: 1202.22
Fighter: Semmy Schilt               ELO: 1202.04
Fighter: Cub Swanson                ELO: 1202.0
Fighter: Johny Hendricks            ELO: 1200.82
Fighter: Omari Akhmedov             ELO: 1200.82
Fighter: Darren Elkins              ELO: 1199.86
Fighter: Marcin Held                ELO: 1199.85
Fighter: Murad Machaev              ELO: 1199.79
Fighter: Krzysztof Jotko            ELO: 1199.18
Fighter: Adlan Amagov               ELO: 1199.06
Fighter: Vladimir Matyushenko       ELO: 1199.06
Fighter: Tim Means                  ELO: 1198.53
Fighter: Al Iaquinta                ELO: 1198.46
Fighter: Francimar Barroso          ELO: 1198.44
Fighter: Rashad Evans               ELO: 1197.93
Fighter: Paul Felder                ELO: 1197.78
Fighter: Nikita Krylov              ELO: 1197.35
Fighter: Jay Hieron                 ELO: 1197.24
Fighter: Alan Belcher               ELO: 1196.46
Fighter: Blagoy Ivanov              ELO: 1196.35
Fighter: Ryan LaFlare               ELO: 1196.34
Fighter: Hiromasa Ougikubo          ELO: 1196.18
Fighter: Cody Garbrandt             ELO: 1196.09
Fighter: Bobby Lashley              ELO: 1195.22
Fighter: Dominick Reyes             ELO: 1195.13
Fighter: Chas Skelly                ELO: 1195.12
Fighter: Gilbert Yvel               ELO: 1194.99
Fighter: Tarec Saffiedine           ELO: 1194.98
Fighter: Ali Bagautinov             ELO: 1194.72
Fighter: Jussier Formiga            ELO: 1194.31
Fighter: Myles Jury                 ELO: 1194.06
Fighter: Ricardo Almeida            ELO: 1193.91
Fighter: Wanderlei Silva            ELO: 1193.55
Fighter: Jason High                 ELO: 1193.33
Fighter: Brian Ebersole             ELO: 1192.64
Fighter: Igor Vovchanchyn           ELO: 1192.31
Fighter: Kuniyoshi Hironaka         ELO: 1191.46
Fighter: Yushin Okami               ELO: 1191.4
Fighter: Nik Lentz                  ELO: 1191.27
Fighter: Dave Jansen                ELO: 1191.04
Fighter: Cole Konrad                ELO: 1190.96
Fighter: Vinc Pichel                ELO: 1190.9
Fighter: Masakatsu Ueda             ELO: 1190.57
Fighter: Tomasz Narkun              ELO: 1189.89
Fighter: Clay Guida                 ELO: 1189.82
Fighter: Jordan Mein                ELO: 1189.8
Fighter: Bryan Baker                ELO: 1189.75
Fighter: Matt Brown                 ELO: 1189.3
Fighter: Mark Muñoz                 ELO: 1189.03
Fighter: Costas Philippou           ELO: 1189.01
Fighter: Sanae Kikuta               ELO: 1188.83
Fighter: Timothy Johnson            ELO: 1188.81
Fighter: Alexander Sarnavskiy       ELO: 1188.8
Fighter: Liam McGeary               ELO: 1188.56
Fighter: Vyacheslav Vasilevsky      ELO: 1187.61
Fighter: Cung Le                    ELO: 1187.15
Fighter: Jarred Brooks              ELO: 1186.93
Fighter: Alex Perez                 ELO: 1186.87
Fighter: Matheus Nicolau            ELO: 1186.38
Fighter: Muhammed Lawal             ELO: 1185.77
Fighter: Jeremy Horn                ELO: 1185.15
Fighter: Mike Pierce                ELO: 1184.7
Fighter: Zak Cummings               ELO: 1184.19
Fighter: Hayato Sakurai             ELO: 1183.98
Fighter: Andrei Arlovski            ELO: 1183.69
Fighter: Tatsuya Kawajiri           ELO: 1182.86
Fighter: Sean O'Malley              ELO: 1182.18
Fighter: Jared Cannonier            ELO: 1181.75
